Date,RET 1,target,RET_2,RET_3,RET_4,RET_5,RET_6,RET_7,RET_8,RET_9,VOL 1,sma_10,sma_21,sma_50,sma_200,RSI 13,RSI 21,RSI_Spread,dev_ret1_13,ret_dev_ratio
2010-08-30,-0.014504969,0.0,0.00076019764,-0.005946815,-0.002084732,-0.016896963,-0.02064544,-0.023822784,-0.04080522,-0.039054632,-0.38661575,1.0888568701187515,1.088342820815452,1.0757558573217283,1.0681027358885944,37.43071518721984,41.25787459159029,-0.0927619137499281,0.009431134006917778,1.5379878081878782
2010-08-31,0.0,0.029911757,-0.014504969,0.00076019764,-0.005946815,-0.002084732,-0.016896963,-0.02064544,-0.023822784,-0.04080522,0.6379777,1.0877954783121266,1.0874456881981547,1.0754413140898187,1.068051261868045,37.430715187219846,41.25787459159028,-0.09276191374992777,0.009406666534996461,0.0
2010-09-01,0.029911757,0.009312153,0.029911757,0.014972806,0.030694604,0.023787022,0.027764678,0.012509346,0.008648753,0.005376339,-0.062442243,1.0874656527399547,1.0869929071934765,1.075384077560301,1.0680352107839732,51.57958425193192,49.63195840433611,0.03924136605146845,0.012731255156463495,2.3494742779008018
2010-09-02,0.009312153,0.01297152,0.0395025,0.0395025,0.024424434,0.04029262,0.033320785,0.037335396,0.021937966,0.018041492,-0.39215297,1.0878599559326427,1.0865714357530474,1.0753964529091844,1.0680111342634342,55.105916894426166,51.938624186590395,0.06098145180852725,0.012957333686128612,0.7186781700712
2010-09-03,0.01297152,-0.01127243,0.022404552,0.052986383,0.052986383,0.03771293,0.053786874,0.046724558,0.050791264,0.03519416,0.3592615,1.0886931984876012,1.0863354118566553,1.0755753814840363,1.0680049076116707,59.58849054656474,54.98209853412541,0.08377985081053804,0.013004765378033668,0.9974436329162337
2010-09-07,-0.01127243,0.007022977,0.0015529394,0.010879636,0.041116714,0.041116714,0.026015282,0.041908145,0.03492534,0.03894627,-0.33093542,1.089318129457818,1.0860042557248897,1.0756666503213343,1.0679823531803305,54.40784164530261,51.941894306262206,0.04747511372035397,0.013402434488786726,0.8410733459919585
2010-09-08,0.007022977,0.0046191216,-0.004328549,0.008586884,0.017979026,0.048428535,0.048428535,0.033221006,0.04922545,0.04219365,0.056001306,1.090528316064403,1.0856935717613259,1.0758151560815552,1.0679905171229032,56.90797899085288,53.60132620881705,0.06168975687567804,0.01251676595621933,0.5610855791240228
2010-09-09,0.0046191216,0.005048752,0.011674523,0.00027048588,0.013245583,0.022681117,0.053271294,0.053271294,0.03799367,0.054072022,-0.01938641,1.0917632992816422,1.0855177580707094,1.0761611532432505,1.0680111343690029,58.53931946374059,54.68939000090513,0.07039627728105477,0.012445153062424844,0.37115827570333404
2010-09-10,0.005048752,0.011123061,0.009691119,0.016782284,0.005320668,0.01836121,0.027844429,0.05858898,0.05858898,0.04323411,-0.13058889,1.0933132293478591,1.0857802746046405,1.0765870754019204,1.0680202669041958,60.325982241994915,55.882219304636905,0.07952015851649046,0.012324596446279238,0.40964844999682665
2010-09-13,0.011123061,-0.0006210208,0.01622796,0.020921946,0.028091908,0.016502857,0.029688478,0.039277196,0.07036376,0.07036376,0.39653337,1.0947664439293046,1.0862727945656268,1.077100656904739,1.0680442051297667,64.0428911756644,58.42676578509778,0.09612247597656781,0.011309074359315477,0.983551865228695
2010-09-14,-0.0006210208,0.0038170815,0.010495186,0.015596867,0.02028799,0.027453542,0.015871644,0.029049039,0.038631797,0.06969905,0.17545927,1.0965866827829123,1.086795419629501,1.0776395052530094,1.0680617783030373,63.67805086669088,58.22770262462913,0.09360404062646915,0.011411023023538277,0.05442288501510986
2010-09-15,0.0038170815,-0.00026530027,0.003193736,0.014352322,0.019473553,0.024182558,0.03137541,0.019749284,0.032977104,0.04259634,-0.19642788,1.0985135569007556,1.0873758459764284,1.0781659778589914,1.0681103465457258,65.0047596056213,59.12593518490038,0.09942886150276509,0.010929536403402454,0.3492445892057898
2010-09-16,-0.00026530027,-0.004953623,0.003550887,0.002927661,0.014083266,0.019203067,0.02391088,0.031101823,0.019478798,0.032703042,0.18596041,1.0996518265252275,1.087792501408882,1.0785238350086952,1.0681533799281975,64.82580154501207,59.03294887165175,0.0981291428614726,0.010636282886422186,0.024942950157327462
2010-09-17,-0.004953623,0.01529026,-0.005217552,-0.0014203787,-0.0020405054,0.009059906,0.014154315,0.018838763,0.025994182,0.014428735,-0.020633817,1.1004007519007417,1.0881176361525764,1.0787986730291494,1.0681698460027425,61.406994996335264,57.267610997120244,0.07228141574516132,0.00958294290590938,0.5169208317977646
2010-09-20,0.01529026,-0.0020138025,0.01026094,0.009992957,0.013848186,0.013218522,0.024488688,0.02966106,0.034417152,0.041681886,0.095581055,1.101224074676236,1.0888798975781917,1.0791209506082329,1.068210803799437,67.16827682128836,61.02625744804939,0.10064551932367083,0.009816390322160149,1.557625543925672
2010-09-21,-0.0020138025,-0.004913211,0.013245702,0.008226395,0.007959008,0.011806488,0.011178136,0.022425532,0.027587533,0.03233397,0.25090933,1.1023003470980595,1.0896566097839377,1.0794277590995633,1.0682606174358191,65.74648445043881,60.28179839409296,0.09065233954402631,0.007266430505882002,0.2771377950633702
2010-09-22,-0.004913211,-0.008111417,-0.006917119,0.008267403,0.003272891,0.0030066967,0.0068353415,0.0062100887,0.017402172,0.022538781,-0.28714544,1.1030467920557063,1.090415257825469,1.079621641007888,1.0682939647865193,62.26965930083802,58.45859942606232,0.065192459487434,0.007431060598846285,0.6611722248097739
2010-09-23,-0.008111417,0.020622253,-0.012984753,-0.014972389,8.893013e-05,-0.00486511,-0.005129099,-0.0013315678,-0.0019517541,0.009149551,0.057661295,1.103438614830527,1.0912545882409785,1.079768599505269,1.06831693441947,56.91317148789532,55.55996122302213,0.024355853299488393,0.007324895817136554,1.1073764727918678
2010-09-24,0.020622253,-0.0047901273,0.012343526,0.0073696375,0.005341053,0.020712972,0.01565671,0.015387297,0.019263148,0.018630266,0.0361619,1.1042668965497513,1.0923239211648086,1.0800336405548348,1.068389025686119,65.11186202112988,60.71742113060095,0.07237528881664214,0.008062184247153766,2.557899048914583
2010-09-27,-0.0047901273,0.0035004616,0.015733361,0.007494211,0.0025442839,0.00052535534,0.015823603,0.010791659,0.010523438,0.014380813,-0.38588881,1.1046512780709703,1.0934125208767447,1.0804260453731938,1.068447833351589,62.078125645015604,59.012623533842465,0.05194654851118658,0.008286608182780706,0.5780564462222302
2010-09-28,0.0035004616,-0.0017440915,-0.0013064146,0.019288898,0.011021018,0.006053686,0.004027605,0.019379497,0.01432991,0.014060855,0.6247637,1.1051522146358896,1.094353003996964,1.0808065905969495,1.0685035968386611,63.420918957394704,59.872987440438884,0.059257633009965824,0.008271829629969172,0.4231786357986421
2010-09-29,-0.0017440915,-0.0029702187,0.0017502308,-0.0030482411,0.01751113,0.009257674,0.0042989254,0.0022765398,0.01760161,0.012560844,-0.1412077,1.105496918931256,1.0954560554077657,1.0811154613185894,1.0685500894955722,62.22741203772002,59.2203766545092,0.0507770391389744,0.008314754365137053,0.20975863316967117
2010-09-30,-0.0029702187,0.0042057037,-0.004709184,-0.0012251735,-0.0060094,0.014488816,0.006259918,0.0013159513,-0.0007004738,0.014579058,0.5980042,1.105764745408775,1.0965181634008978,1.0814795059460323,1.068581361260495,60.14292277461642,58.090123996042195,0.03533817174695805,0.007975878971850816,0.3724001666687805
2010-10-01,0.0042057037,-0.0075036883,0.0012229681,-0.0005232096,0.0029754639,-0.0018289685,0.018755555,0.010491967,0.005527258,0.003502369,-0.39172888,1.1062904823683573,1.0972587491156844,1.081745062749878,1.068626470228744,62.085361121271006,59.24318994308562,0.04797464790325835,0.00800461670704147,0.5254097590521611
2010-10-04,-0.0075036883,0.020131826,-0.0033295155,-0.0062898397,-0.008023024,-0.004550576,-0.009318948,0.01111114,0.0029095411,-0.0020179152,-0.04858893,1.1061764077425242,1.0977741483301258,1.0819172876993055,1.0686573270031938,56.72004909288408,56.32775090182359,0.006964563377370529,0.00830022855097349,0.904033941877255
2010-10-05,0.020131826,-8.6188316e-05,0.01247704,0.016735315,0.013715386,0.011947393,0.015489697,0.010625362,0.031466722,0.023100019,0.38206244,1.1066872640869079,1.0983943136333614,1.0821482964410907,1.068738412404499,65.35636037845134,61.60990335036139,0.06080933136325028,0.009801489752071768,2.05395576692834
2010-10-06,-8.6188316e-05,-0.0012065768,0.02004397,0.012389779,0.016647696,0.013628006,0.011860132,0.015402079,0.01053822,0.031377792,-0.35276777,1.1073345150339207,1.0991637999896746,1.0823793047894708,1.0688189443092257,65.29470957535672,61.575747785189336,0.060396534738663736,0.009617750426649576,0.008961380002791283
2010-10-07,-0.0012065768,0.005608797,-0.0012926459,0.018813133,0.0111682415,0.015421033,0.012405038,0.010639191,0.014176965,0.009318948,0.10922277,1.1081751969504763,1.0998237033304836,1.0826402205916068,1.0688820414412183,64.37392851839277,61.07810333300384,0.05396083056835887,0.008898959205890171,0.13558628557254268
2010-10-08,0.005608797,0.00094389915,0.004395485,0.00430882,0.02452743,0.016839743,0.021116257,0.018083334,0.016307712,0.019865274,0.07824874,1.1086017380074198,1.1005004663741458,1.0829624981706902,1.0689485978476507,66.73351366672506,62.553465482079474,0.0668236068526547,0.008921410786814826,0.6286894760695962
2010-10-11,0.00094389915,0.0030862093,0.0065579414,0.005343437,0.005256772,0.025494576,0.017799497,0.022080064,0.01904428,0.017266989,-0.42001438,1.1091919525875182,1.1011230396813692,1.0832914793751978,1.0690136322704527,67.13260820635094,62.80400190739465,0.06892245983526459,0.008719160017802862,0.1082557439863271
2010-10-12,0.0030862093,0.007777095,0.0040329695,0.009664416,0.008446097,0.008359194,0.028659344,0.020940542,0.02523446,0.02218926,0.7673423,1.1097722473881522,1.1016396433571718,1.0835106281289746,1.0690763143064037,68.47356257355987,63.63995347378625,0.07595242981698004,0.008195320317409624,0.37658190011487735
2010-10-13,0.007777095,-0.0039009452,0.010887265,0.011841416,0.017516613,0.016288877,0.016201258,0.03665936,0.028880477,0.033207774,0.06661105,1.1106278080279022,1.102274258521803,1.0838045451237364,1.0691482671725159,71.6418529325202,65.68673951828778,0.09065929376163445,0.006646483963641542,1.1701066132930869
2010-10-14,-0.0039009452,0.0020432472,0.003845811,0.006943822,0.007894278,0.013547301,0.012324452,0.012237191,0.032615423,0.024866939,0.12049103,1.1114536112212636,1.1028016995936527,1.0840360692263964,1.069216068972642,67.90479283534975,63.78107427031237,0.06465426636686203,0.006579740836820139,0.5928721637158343
2010-10-15,0.0020432472,0.0049277544,-0.001865685,0.005896926,0.009001255,0.009953618,0.015618205,0.014392853,0.014305353,0.03472519,0.11912274,1.112219895737839,1.103361653772378,1.084286156549084,1.0692877451432492,68.82396459575455,64.34769984271665,0.06956371034208074,0.006568040453073544,0.3110893176585482
2010-10-18,0.0049277544,-0.013104439,0.0069811344,0.00305295,0.010853767,0.013973355,0.014930487,0.020622969,0.019391537,0.01930368,-0.4205913,1.1133432847471125,1.1040588880655076,1.0845898709081396,1.0693823908412385,70.99847467359712,65.70899442020477,0.08049857253280208,0.006513554966375552,0.7565383922602681
2010-10-19,-0.013104439,0.009766102,-0.008241236,-0.006214857,-0.010091543,-0.0023929477,0.00068581104,0.0016303062,0.0072482824,0.0060329437,0.9872179,1.1135143976318642,1.1043623480171079,1.0847827220947148,1.0694294369947281,59.070325541250654,59.35016941501703,-0.004715131844182523,0.007636383061181757,1.7160530943441599
2010-10-20,0.009766102,0.0022057295,-0.0034663081,0.0014443398,0.0034905672,-0.00042396784,0.0073498487,0.010458589,0.011412382,0.017085195,-0.28706896,1.1139706980272008,1.1048307833445432,1.0850658110034335,1.06948810636523,63.90244966901643,62.17682888734698,0.02775343825906524,0.00791195720435023,1.2343471513961817
